LST_ListingID,LST_LNG_LanguageID,LST_VLO_VendorLocationID,LST_VIT_VendorItemID,LST_SER_ServiceID,LST_ParentListingID,LST_ITT_ItemTypeID,LST_ListingName,LST_UrlTitle,LST_ListingDesc,LST_CustomMessage,LST_RefundPolicy,LST_CancellationPolicy,LST_ListingAccess,LST_StartDateTime,LST_EndDateTime,LST_ViewCount,LST_ClickCount,LST_Priority,LST_Order,LST_IsDefault,LST_ShuttleServiceAvailable,LST_CanSubscribe,LST_isExternalListing,LST_VersionNo,LST_Status,LST_CreatedUserID,LST_CreatedDateTime,LST_LastModifiedUserID,LST_LastModifiedDateTime,Legacy_ID,LST_ExternalId,LST_IsCustomRedemptionSteps,LST_IsSeoListing,LST_InventoryOwner,LST_IsExclusiveInventory,LST_DisplayName
6312921,1,388077,4532994,48,NULL,2350,"Mister Car Wash - Reading","Mister Car Wash - Reading","Get a fast car wash when you go to Mister Car Wash. Mister Car Wash - Reading, Pennsylvania, is located at 600 Revere Boulevard, near the intersection of Revere Blvd and Princeton Ave. This location is close to The UPS store, Lowe's Home Improvement and Springfield Veterinary Hospital.
At this location of Mister Car Wash in Reading, you can get a simple and quick car wash, complete with T3 conditioner and more!  Sit back and relax while your car breezes through the wash station. Leave this car wash spot with a clean and spotless car within minutes.",,NULL,NULL,NULL,NULL,NULL,0,0,100,1,Yes,No,No,No,1,In-Active,44613,"2020-11-12 11:16:38",44613,"2021-03-25 03:54:28",NULL,NULL,No,No,WAY,NULL,NULL
6312922,1,387826,4532995,48,NULL,2351,"SEO Locations",NULL,,NULL,NULL,NULL,NULL,NULL,NULL,0,0,100,1,Yes,No,No,No,1,Active,44613,"2020-11-12 11:30:04",7974332,"2024-05-22 13:33:48",NULL,NULL,No,No,WAY,NULL,NULL
6312923,1,387826,4532996,48,6312922,2352,"Way Car Wash Ultimate Voucher",NULL,"Once you've purchased your car wash voucher, you will receive a voucher for redemption. The car wash voucher is easily accessible through the Way App, or you can receive the voucher through your email. 
  
When you’ve arrived at the car wash location, redeem your voucher at the wash station. Once done, simply proceed to the car wash station for a clean and sparkling car!",NULL,NULL,"All subscription purchases are non-refundable. Subscription purchases are cancelable for the following month. Once charged, it will be non-refundable.",NULL,NULL,NULL,0,0,100,1,Yes,No,No,No,1,Active,44613,"2020-11-12 11:30:04",44613,"2020-12-02 09:34:43",NULL,NULL,No,No,WAY,NULL,NULL
6312924,1,387826,4532997,48,NULL,2351,"Family Car Wash",NULL,,NULL,NULL,NULL,NULL,NULL,NULL,0,0,100,1,Yes,No,No,No,1,In-Active,44613,"2020-11-12 11:34:18",1828315,"2021-08-14 03:23:34",NULL,NULL,No,No,WAY,NULL,NULL
6312925,1,387826,4532998,48,6312924,2353,"Family Car Wash Pass",NULL,"1. Tap on "Get New Carwash code" and get it scanned at the paystation<br/>2. Enjoy the car washing experience!<br/>*You can redeem only once a day<br/>",NULL,NULL,"All subscription purchases are non-refundable. Subscription purchases are cancelable for the following month. Once charged and renewed, it will be non-refundable or cancelable for the month paid.",NULL,NULL,NULL,0,0,100,1,Yes,No,No,No,1,Active,44613,"2020-11-12 11:34:18",44613,"2021-07-12 09:54:58",NULL,NULL,No,No,WAY,NULL,NULL
6312926,1,387826,4532999,48,6312924,2352,"Way Express Car Wash Voucher",NULL,"1. Scan your barcode at the paystation<br/>2. Enjoy the car washing experience!<br/>",NULL,NULL,"Vouchers can't be cancelled.",NULL,NULL,NULL,0,0,100,1,Yes,No,No,No,1,Deleted,44613,"2020-11-12 11:34:18",44613,"2020-11-12 11:34:18",NULL,NULL,No,No,WAY,NULL,NULL
6312927,1,387826,4533000,48,NULL,2351,"8 Dollar Car Wash Voucher Pass",NULL,,NULL,NULL,NULL,NULL,NULL,NULL,0,0,100,1,Yes,No,No,No,1,Active,44613,"2020-11-12 11:35:06",7974332,"2024-05-22 13:32:46",NULL,NULL,No,No,WAY,NULL,"Way Express Car Wash Voucher"
6312928,1,387826,4533001,48,6312927,2353,"Way Unlimited Car Wash Subscription",NULL,"1. Tap on "Get New Carwash code" and punch in the number code at the paystation<br/>2. Enjoy the car washing experience!<br/>*You can redeem only once a day<br/>",NULL,NULL,"Subscription can't be cancelled.",NULL,NULL,NULL,0,0,100,1,Yes,No,No,No,1,Deleted,44613,"2020-11-12 11:35:06",44613,"2020-11-25 06:01:14",NULL,NULL,No,No,WAY,NULL,NULL
6312929,1,387826,4533002,48,6312927,2352,"Way Express Car Wash Voucher",NULL,"1.  Punch in the number code at the paystation<br/>2. Enjoy the car washing experience!<br/>",NULL,NULL,"All vouchers are available immediately after purchase. These vouchers are not returnable and are not refundable. You may use your one-time voucher at this car wash station for up to year.",NULL,NULL,NULL,0,0,100,1,Yes,No,No,No,1,Active,44613,"2020-11-12 11:35:06",44613,"2020-11-25 06:01:14",NULL,NULL,No,No,WAY,NULL,NULL
6313152,1,388136,4533119,48,NULL,2350,"Mister Car Wash - Ephrata","Mister Car Wash - Ephrata","Get a fast car wash when you go to Mister Car Wash. Mister Car Wash - Ephrata located at 825 W Main Street, close to the intersection of W Main Street and N Reading Rd.find us near WellSpan Ephrata Community Hospital, The UPS Store, and Ephrata Rec Center. Mister Car Wash staffed with car care experts who are ready to help keep your vehicle clean and safe.
At this location of Mister Car Wash in Ephrata, you can get a simple and quick car wash, complete with T3 conditioner and more!  Sit back and relax while your car breezes through the wash station. Leave this car wash spot with a clean and spotless car within minutes.",,NULL,NULL,NULL,NULL,NULL,0,0,100,1,Yes,No,No,No,1,In-Active,44613,"2020-11-17 09:31:53",44613,"2020-11-17 12:10:37",NULL,NULL,No,No,WAY,NULL,NULL
